epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,524.403,0.49065,0.37485,0.91863,0.7736,0.75548,0.77085,0.62589,0.70263,0.92061,1.1335,0.000609757,0.000609757,0.000609757
43,536.704,0.49048,0.37441,0.92248,0.8207,0.76622,0.83439,0.67987,0.69935,0.6954,1.12889,0.000583971,0.000583971,0.000583971
44,549.029,0.4977,0.37508,0.91975,0.84823,0.77991,0.81188,0.65303,0.70501,0.72141,1.12209,0.000558185,0.000558185,0.000558185
45,561.313,0.49384,0.37352,0.92091,0.82297,0.75122,0.80827,0.66086,0.68091,0.75345,1.09989,0.000532398,0.000532398,0.000532398
46,573.536,0.48544,0.36268,0.91646,0.8736,0.74031,0.79166,0.6559,0.67749,0.80173,1.11546,0.000506612,0.000506612,0.000506612
47,585.837,0.46563,0.34262,0.90524,0.78562,0.7442,0.78262,0.64549,0.67711,0.79868,1.1278,0.000480825,0.000480825,0.000480825
48,598.158,0.46805,0.34852,0.90522,0.78675,0.72144,0.75063,0.60588,0.71325,0.91517,1.14347,0.000455039,0.000455039,0.000455039
49,610.502,0.46769,0.35343,0.91267,0.84307,0.78382,0.86127,0.69816,0.69035,0.67,1.13087,0.000429253,0.000429253,0.000429253
50,622.923,0.45585,0.33714,0.90669,0.86369,0.76644,0.85636,0.69729,0.6896,0.7137,1.12788,0.000403466,0.000403466,0.000403466
51,635.25,0.46211,0.33927,0.90699,0.82649,0.75855,0.85937,0.70112,0.67884,0.68418,1.11525,0.00037768,0.00037768,0.00037768
52,647.677,0.45347,0.3252,0.89925,0.81094,0.75614,0.79972,0.64706,0.68369,0.81126,1.12575,0.000351893,0.000351893,0.000351893
53,660.016,0.44269,0.32542,0.89898,0.84473,0.77137,0.84169,0.68613,0.67629,0.75107,1.12894,0.000326107,0.000326107,0.000326107
54,672.398,0.44687,0.32827,0.90162,0.73543,0.80197,0.8187,0.6744,0.67907,0.80094,1.1389,0.00030032,0.00030032,0.00030032
55,686.124,0.4383,0.31658,0.89564,0.83411,0.7887,0.87108,0.7071,0.69804,0.64593,1.13841,0.000274534,0.000274534,0.000274534
56,698.258,0.40871,0.28562,0.87767,0.79714,0.75077,0.83529,0.68149,0.69443,0.74853,1.14051,0.000248748,0.000248748,0.000248748
57,710.311,0.39565,0.27364,0.87006,0.81133,0.81459,0.87364,0.71355,0.69636,0.62496,1.14179,0.000222961,0.000222961,0.000222961
58,722.338,0.39158,0.27104,0.8725,0.76563,0.79936,0.84757,0.69139,0.70074,0.73005,1.14805,0.000197175,0.000197175,0.000197175
59,734.479,0.38453,0.26577,0.86139,0.79942,0.78503,0.84953,0.69468,0.68579,0.73123,1.14328,0.000171388,0.000171388,0.000171388
60,746.514,0.37588,0.25789,0.86257,0.73497,0.77608,0.82678,0.67775,0.67901,0.80569,1.1352,0.000145602,0.000145602,0.000145602
61,758.686,0.36786,0.24855,0.85334,0.73633,0.78907,0.83564,0.68467,0.68659,0.75521,1.14037,0.000119816,0.000119816,0.000119816
62,770.706,0.36965,0.24969,0.85902,0.77904,0.78707,0.84353,0.68898,0.69331,0.73933,1.1427,9.40292e-05,9.40292e-05,9.40292e-05
63,782.779,0.36617,0.24533,0.85943,0.78821,0.77868,0.84005,0.68877,0.67999,0.75327,1.13916,6.82428e-05,6.82428e-05,6.82428e-05
64,794.86,0.35706,0.23843,0.85507,0.77177,0.77608,0.83329,0.68302,0.6876,0.78832,1.13985,4.24564e-05,4.24564e-05,4.24564e-05
